"title","amount","department","detail","views","city","date"
"
                      I Paid Rs. 60000 to Police in Pune.
                    ","Paid INR 60,000
                        ","Police","Police Verification for Passport","103 views","Pune
                      , Maharashtra","October 12, 2015"
"
                      I Paid Rs. 6500 to Stamps and Registration in Bangalore.
                    ","Paid INR 6,500
                        ","Stamps and Registration","Marriage Certificate","40 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 2,500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","35 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 3,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","30 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 2,500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","33 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Agra.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","42 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 2,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","34 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 610 to Municipal Services in Agra.
                    ","Paid INR 610
                        ","Municipal Services","Birth Certificate","42 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 2,500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","34 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 65000 to Police in Bangalore.
                    ","Paid INR 65,000
                        ","Police","Filing FIR","66 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1500 to Municipal Services in Agra.
                    ","Paid INR 1,500
                        ","Municipal Services","Birth Certificate","42 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 1400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 1,400
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","32 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 1200 to Municipal Services in Agra.
                    ","Paid INR 1,200
                        ","Municipal Services","Birth Certificate","47 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Paid INR 5,000
                        ","Stamps and Registration","Marriage Certificate","50 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 800
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","29 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 6500 to Stamps and Registration in Bangalore.
                    ","Paid INR 6,500
                        ","Stamps and Registration","Marriage Certificate","46 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 4000 to Municipal Services in Agra.
                    ","Paid INR 4,000
                        ","Municipal Services","Birth Certificate","40 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 5600 to Transport in Bangalore.
                    ","Paid INR 5,600
                        ","Transport","New Domestic Driving License","120 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 900 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 900
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","31 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 6500 to Transport in Bangalore.
                    ","Paid INR 6,500
                        ","Transport","New Domestic Driving License","74 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 3000 to Municipal Services in Agra.
                    ","Paid INR 3,000
                        ","Municipal Services","Birth Certificate","42 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 50000 to Transport in Bangalore.
                    ","Paid INR 50,000
                        ","Transport","Duplicate Registration Certificate","91 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","34 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 5800 to Municipal Services in Bangalore.
                    ","Paid INR 5,800
                        ","Municipal Services","Birth Certificate","39 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2000 to Municipal Services in Agra.
                    ","Paid INR 2,000
                        ","Municipal Services","Birth Certificate","54 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 610
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","30 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 5500 to Stamps and Registration in Bangalore.
                    ","Paid INR 5,500
                        ","Stamps and Registration","Marriage Certificate","45 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 6000 to Commercial Tax, Sales Tax, VAT in Mumbai.
                    ","Paid INR 6,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","108 views","Mumbai
                      , Maharashtra","October 12, 2015"
"
                      I Paid Rs. 5000 to Transport in Bangalore.
                    ","Paid INR 5,000
                        ","Transport","New Domestic Driving License","67 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1000 to Municipal Services in Agra.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","47 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 1,500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","31 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Paid INR 5,000
                        ","Stamps and Registration","Marriage Certificate","47 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 1,200
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","32 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 5200 to Municipal Services in Bangalore.
                    ","Paid INR 5,200
                        ","Municipal Services","Birth Certificate","35 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 25000 to Police in Bangalore.
                    ","Paid INR 25,000
                        ","Police","Filing FIR","62 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1800 to Municipal Services in Agra.
                    ","Paid INR 1,800
                        ","Municipal Services","Birth Certificate","51 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 4,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","34 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 2,500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","36 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Paid INR 2,500
                        ","Transport","Duplicate Registration Certificate","78 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2400 to Municipal Services in Agra.
                    ","Paid INR 2,400
                        ","Municipal Services","Birth Certificate","44 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 3,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","37 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 3500 to Municipal Services in Bangalore.
                    ","Paid INR 3,500
                        ","Municipal Services","Birth Certificate","43 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5800 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 5,800
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","127 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2610 to Municipal Services in Agra.
                    ","Paid INR 2,610
                        ","Municipal Services","Birth Certificate","36 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 2,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","34 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 4500 to Transport in Bangalore.
                    ","Paid INR 4,500
                        ","Transport","New Domestic Driving License","75 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5000 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 5,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","93 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 3610 to Municipal Services in Agra.
                    ","Paid INR 3,610
                        ","Municipal Services","Birth Certificate","41 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 1,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","32 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Paid INR 2,500
                        ","Transport","Duplicate Registration Certificate","49 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 45000 to Stamps and Registration in Bangalore.
                    ","Paid INR 45,000
                        ","Stamps and Registration","Registration of Flat or Apartment","49 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 1,800
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","36 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 5600 to Stamps and Registration in Bangalore.
                    ","Paid INR 5,600
                        ","Stamps and Registration","Registration of Property","47 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5500 to Police in Bangalore.
                    ","Paid INR 5,500
                        ","Police","Traffic Violations","56 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 2,400
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","36 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 3200 to Transport in Bangalore.
                    ","Paid INR 3,200
                        ","Transport","New Domestic Driving License","54 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 9000 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Paid INR 9,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","118 views","New Delhi
                      , Delhi","October 12, 2015"
"
                      I Paid Rs. 2610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 2,610
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","33 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 3610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 3,610
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","32 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Police in Bangalore.
                    ","Paid INR 2,500
                        ","Police","Police Verification for Passport","52 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5200 to Transport in Bangalore.
                    ","Paid INR 5,200
                        ","Transport","Duplicate Registration Certificate","49 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 800
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","37 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 650 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 650
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","33 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 1,200
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","32 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 3000 to Municipal Services in Bangalore.
                    ","Paid INR 3,000
                        ","Municipal Services","Birth Certificate","35 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5600 to Stamps and Registration in Bangalore.
                    ","Paid INR 5,600
                        ","Stamps and Registration","Marriage Certificate","48 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 3,200
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","34 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 25000 to Police in Bangalore.
                    ","Paid INR 25,000
                        ","Police","Filing FIR","52 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 6000 to Stamps and Registration in Bangalore.
                    ","Paid INR 6,000
                        ","Stamps and Registration","Marriage Certificate","45 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 4,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","31 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Municipal Services in Agra.
                    ","Paid INR 2,500
                        ","Municipal Services","Birth Certificate","38 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Paid INR 2,500
                        ","Transport","New Domestic Driving License","49 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 60000 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 60,000
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","118 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 1,500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","28 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 2000 to Municipal Services in Aligarh.
                    ","Paid INR 2,000
                        ","Municipal Services","Birth Certificate","79 views","Aligarh
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Paid INR 5,000
                        ","Stamps and Registration","Marriage Certificate","45 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 15000 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 15,000
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","87 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 9000 to Passport in Chennai.
                    ","Paid INR 9,000
                        ","Passport","Police Verification for Passport","283 views","Chennai
                      , Tamil Nadu","October 12, 2015"
"
                      I Paid Rs. 520 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 520
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","27 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 3,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","28 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 2000 to Passport in Bangalore.
                    ","Paid INR 2,000
                        ","Passport","Passport Delivery","189 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Passport in Bangalore.
                    ","Paid INR 2,500
                        ","Passport","Police Verification for Passport","138 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 2,500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","29 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 25000 to Stamps and Registration in Bangalore.
                    ","Paid INR 25,000
                        ","Stamps and Registration","Registration of Property","42 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Paid INR 2,500
                        ","Transport","Registration of Vehicle","59 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Paid INR 2,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","28 views","Indore
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 15000 to Police in Bangalore.
                    ","Paid INR 15,000
                        ","Police","Filing FIR","48 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Police in Bangalore.
                    ","Paid INR 2,500
                        ","Police","Traffic Violations","45 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 25000 to Police in Bangalore.
                    ","Paid INR 25,000
                        ","Police","Police Harassment","45 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1500 to Passport in Bangalore.
                    ","Paid INR 1,500
                        ","Passport","Passport Delivery","91 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Income Tax in Bangalore.
                    ","Paid INR 500
                        ","Income Tax","New PAN Card","64 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1500 to Passport in Bangalore.
                    ","Paid INR 1,500
                        ","Passport","Passport Delivery","83 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Paid INR 2,500
                        ","Transport","New Domestic Driving License","56 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1000 to Stamps and Registration in Bangalore.
                    ","Paid INR 1,000
                        ","Stamps and Registration","Marriage Certificate","42 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","31 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 15000 to Police in Bangalore.
                    ","Paid INR 15,000
                        ","Police","Filing FIR","44 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2000 to Transport in Bangalore.
                    ","Paid INR 2,000
                        ","Transport","Duplicate Registration Certificate","62 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 2,500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","59 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 1,500
                        ","Commercial Tax, Sales Tax, VAT","C Form","67 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5000 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 5,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","66 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2000 to Municipal Services in Bangalore.
                    ","Paid INR 2,000
                        ","Municipal Services","Birth Certificate","35 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Paid INR 2,500
                        ","Transport","Registration of Vehicle","65 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 600 to Food, Civil Supplies and Consumer Affairs in Abhayapuri.
                    ","Paid INR 600
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","94 views","Abhayapuri
                      , Assam","October 12, 2015"
"
                      I Paid Rs. 424 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Paid INR 424
                        ","Commercial Tax, Sales Tax, VAT","C Form","98 views","Abhayapuri
                      , Assam","October 12, 2015"
"
                      I Paid Rs. 15000 to Passport in Adityapur.
                    ","Paid INR 15,000
                        ","Passport","Passport Delivery","112 views","Adityapur
                      , Jharkhand","October 12, 2015"
"
                      I Paid Rs. 2500 to Police in Aligarh.
                    ","Paid INR 2,500
                        ","Police","Police Verification for Passport","83 views","Aligarh
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 1500 to Transport in Abhayapuri.
                    ","Paid INR 1,500
                        ","Transport","New Domestic Driving License","90 views","Abhayapuri
                      , Assam","October 12, 2015"
"
                      I Paid Rs. 10000 to Stamps and Registration in Allahabad.
                    ","Paid INR 10,000
                        ","Stamps and Registration","Registration of Property","72 views","Allahabad
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 550 to Income Tax in Adari.
                    ","Paid INR 550
                        ","Income Tax","New PAN Card","113 views","Adari
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 2000 to Transport in Arwal.
                    ","Paid INR 2,000
                        ","Transport","New Domestic Driving License","56 views","Arwal
                      , Bihar","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Alleppey.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","65 views","Alleppey
                      , Kerala","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Ahmadnagar.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","69 views","Ahmadnagar
                      , Maharashtra","October 12, 2015"
"
                      I Paid Rs. 1500 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 1,500
                        ","Commercial Tax, Sales Tax, VAT","C Form","114 views","Abohar
                      , Punjab","October 12, 2015"
"
                      I Paid Rs. 15000 to Police in Adoni.
                    ","Paid INR 15,000
                        ","Police","Filing FIR","79 views","Adoni
                      , Andhra Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Municipal Services in Ahmedabad.
                    ","Paid INR 2,500
                        ","Municipal Services","Birth Certificate","87 views","Ahmedabad
                      , Gujarat","October 12, 2015"
"
                      I Paid Rs. 2500 to Passport in Hyderabad.
                    ","Paid INR 2,500
                        ","Passport","Passport Delivery","106 views","Hyderabad
                      , Telangana","October 12, 2015"
"
                      I Paid Rs. 800 to Municipal Services in Bangalore.
                    ","Paid INR 800
                        ","Municipal Services","Birth Certificate","50 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","64 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Passport in Bangalore.
                    ","Paid INR 800
                        ","Passport","Police Verification for Passport","80 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 10000 to Municipal Services in Vadodara.
                    ","Paid INR 10,000
                        ","Municipal Services","Birth Certificate","75 views","Vadodara
                      , Gujarat","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","70 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","72 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1200 to Police in Bangalore.
                    ","Paid INR 1,200
                        ","Police","Filing FIR","75 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Income Tax in Bangalore.
                    ","Paid INR 800
                        ","Income Tax","New PAN Card","66 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","79 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","66 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Transport in Bangalore.
                    ","Paid INR 800
                        ","Transport","Duplicate Registration Certificate","84 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","47 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","53 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Paid INR 800
                        ","Police","Police Verification for Passport","60 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","51 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","55 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","44 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 900 to Stamps and Registration in Bangalore.
                    ","Paid INR 900
                        ","Stamps and Registration","Registration of Flat or Apartment","67 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","65 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","48 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 800
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","42 views","Bangalore
                      , Karnataka","October 12, 2015"
